date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:06	17107/17107	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2018:14:19%20GMT	http://www.hummusmed.com/	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/index.html	(from )
19:01:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202019%2002:01:09%20GMT	http://www.hummusmed.com/robots.txt		(from )
19:01:07	17107/17107	---M--	200	added ('OK')	text/html	date:Tue,%2012%20Jun%202018%2018:14:19%20GMT	http://www.hummusmed.com/index.html	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/index-2.html	(from http://www.hummusmed.com/)
19:01:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202019%2002:01:10%20GMT	http://www.hummusmed.com/HummusMK/assets/images/logo_big.jpg	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/HummusMK/assets/images/logo_big.jpg	(from http://www.hummusmed.com/)
19:01:07	1949/1949	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jun%202017%2000:13:40%20GMT	http://www.hummusmed.com/assets/images/favicon.html	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/images/favicon.html	(from http://www.hummusmed.com/)
19:01:08	8341/8341	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jun%202018%2018:17:03%20GMT	http://www.hummusmed.com/assets/css/style.css	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/css/style.css	(from http://www.hummusmed.com/)
19:01:08	4899/4899	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202017%2000:13:39%20GMT	http://www.hummusmed.com/assets/fancybox/jquery.fancybox.css	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/fancybox/jquery.fancybox.css	(from http://www.hummusmed.com/)
19:01:08	735/735	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Jun%202017%2000:13:41%20GMT	http://www.hummusmed.com/assets/fancybox/helpers/jquery.fancybox-thumbs.css	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/fancybox/helpers/jquery.fancybox-thumbs.css	(from http://www.hummusmed.com/)
19:01:10	9425/9425	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Jun%202017%2000:13:41%20GMT	http://www.hummusmed.com/assets/js/script.js	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/js/script.js	(from http://www.hummusmed.com/)
19:01:11	3836/3836	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Jun%202017%2000:13:41%20GMT	http://www.hummusmed.com/assets/fancybox/helpers/jquery.fancybox-thumbs.js	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/fancybox/helpers/jquery.fancybox-thumbs.js	(from http://www.hummusmed.com/)
19:01:13	23135/23135	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Jun%202017%2000:13:39%20GMT	http://www.hummusmed.com/assets/fancybox/jquery.fancybox.pack.js	C:/My%20Web%20Sites/HummusMed/www.hummusmed.com/assets/fancybox/jquery.fancybox.pack.js	(from http://www.hummusmed.com/)
